<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2011.02.13	0.97290	0.97434	0.94362	0.94427	331385	0	11
2011.02.20	0.94592	0.95048	0.92334	0.92804	378247	0	10
2011.02.27	0.92799	0.93280	0.92014	0.92442	368483	0	10
2011.03.06	0.92537	0.93684	0.92355	0.92963	351056	0	12
2011.03.13	0.92829	0.93158	0.89216	0.90088	422120	0	10
2011.03.20	0.90144	0.92139	0.89775	0.91978	347227	0	10
2011.03.27	0.92061	0.93394	0.91260	0.92356	339778	0	10
2011.04.03	0.92447	0.92897	0.90573	0.90618	329197	0	10
2011.04.10	0.90807	0.91043	0.88954	0.89203	340078	0	10
2011.04.17	0.89273	0.90068	0.87802	0.88567	313972	0	10
2011.04.24	0.88515	0.88730	0.86256	0.86503	307736	8523750000	6
2011.05.01	0.86391	0.87951	0.85529	0.87858	335920	0	10
2011.05.08	0.87713	0.89453	0.87072	0.89241	323032	0	10
2011.05.15	0.89302	0.89381	0.87472	0.87699	163785	0	6
2011.05.22	0.87875	0.88932	0.84651	0.84892	216578	0	6
2011.05.29	0.85057	0.85459	0.83299	0.83355	282960	0	10
2011.06.05	0.83483	0.84440	0.83261	0.84281	220889	0	10
2011.06.12	0.84258	0.85504	0.83473	0.84876	326519	0	10
2011.06.19	0.84825	0.85156	0.83185	0.83272	317084	0	10
2011.06.26	0.83409	0.85250	0.82747	0.84760	292596	0	10
2011.07.03	0.84743	0.85192	0.83589	0.83593	302080	0	10
2011.07.10	0.83629	0.83971	0.80836	0.81437	348148	0	10
2011.07.17	0.80952	0.82770	0.80952	0.81862	285517	0	9
2011.07.24	0.81265	0.81547	0.78500	0.78552	272759	24435750000	6
2011.07.31	0.79421	0.79522	0.75797	0.76703	389178	27176605000	6
2011.08.07	0.75760	0.77844	0.70674	0.77809	498549	0	10
2011.08.14	0.78231	0.80144	0.77692	0.78461	444802	0	10
2011.08.21	0.78969	0.81536	0.78387	0.80603	371503	0	10
2011.08.28	0.80716	0.82318	0.77109	0.78799	398644	146437369000	6
2011.09.04	0.79002	0.88634	0.78202	0.88334	478912	0	11
