<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2004.09.09	20:00:00	1.26350	1.26520	1.25810	1.25870	1832	0	50
2004.09.10	00:00:00	1.25900	1.26020	1.25670	1.25950	1847	0	50
2004.09.10	04:00:00	1.25910	1.26010	1.25650	1.26010	1899	0	50
2004.09.10	08:00:00	1.25980	1.26330	1.25900	1.26150	1997	0	50
2004.09.10	12:00:00	1.26170	1.26240	1.25200	1.25530	2475	0	50
2004.09.10	16:00:00	1.25550	1.25680	1.25210	1.25500	2051	0	50
2004.09.10	20:00:00	1.25490	1.25910	1.25460	1.25870	1355	0	50
2004.09.13	00:00:00	1.25770	1.25920	1.25480	1.25830	1312	0	50
2004.09.13	04:00:00	1.25840	1.25880	1.25600	1.25800	1231	0	50
2004.09.13	08:00:00	1.25810	1.25900	1.25600	1.25750	1841	0	50
2004.09.13	12:00:00	1.25760	1.26160	1.25650	1.26040	1943	0	50
2004.09.13	16:00:00	1.26030	1.26220	1.25650	1.25740	2024	0	50
2004.09.13	20:00:00	1.25730	1.26020	1.25730	1.25870	1494	0	50
2004.09.14	00:00:00	1.25870	1.25980	1.25760	1.25790	1338	0	50
2004.09.14	04:00:00	1.25800	1.25920	1.25680	1.25830	1489	0	50
2004.09.14	08:00:00	1.25850	1.26270	1.25570	1.26120	1874	0	50
2004.09.14	12:00:00	1.26090	1.26450	1.25560	1.25860	2166	0	50
2004.09.14	16:00:00	1.25850	1.25960	1.25460	1.25840	2173	0	50
2004.09.14	20:00:00	1.25810	1.26030	1.25760	1.25940	1876	0	50
2004.09.15	00:00:00	1.25930	1.26010	1.25730	1.25980	1228	0	50
2004.09.15	04:00:00	1.25990	1.26150	1.25920	1.26030	1371	0	50
2004.09.15	08:00:00	1.26030	1.26130	1.25660	1.25870	2066	0	50
2004.09.15	12:00:00	1.25880	1.26750	1.25780	1.26630	2076	0	50
2004.09.15	16:00:00	1.26630	1.27180	1.26550	1.27100	2033	0	50
2004.09.15	20:00:00	1.27110	1.27200	1.26910	1.27000	1515	0	50
2004.09.16	00:00:00	1.27010	1.27090	1.26900	1.26990	1078	0	50
2004.09.16	04:00:00	1.27010	1.27090	1.26870	1.26960	1284	0	50
2004.09.16	08:00:00	1.26970	1.27080	1.26800	1.27000	1861	0	50
2004.09.16	12:00:00	1.26990	1.27410	1.26840	1.27320	2206	0	50
2004.09.16	16:00:00	1.27310	1.27510	1.26510	1.26830	2061	0	50
2004.09.16	20:00:00	1.26820	1.26970	1.26620	1.26850	1519	0	50
2004.09.17	00:00:00	1.26840	1.26940	1.26760	1.26810	1236	0	50
2004.09.17	04:00:00	1.26830	1.26940	1.26800	1.26850	1128	0	50
2004.09.17	08:00:00	1.26860	1.26910	1.26590	1.26720	1824	0	50
2004.09.17	12:00:00	1.26700	1.26980	1.26600	1.26840	1978	0	50
2004.09.17	16:00:00	1.26870	1.27290	1.26750	1.26980	1898	0	50
2004.09.17	20:00:00	1.26960	1.27070	1.26710	1.26790	1311	0	50
