<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.18	1.21467	1.22932	1.20640	1.22807	444584	0	3
2019.08.25	1.22675	1.23093	1.21391	1.21625	547946	0	2
2019.09.01	1.21395	1.23533	1.19579	1.22850	554108	0	2
2019.09.08	1.22710	1.25051	1.22330	1.24943	405808	0	2
2019.09.15	1.24967	1.25813	1.23918	1.24670	327908	0	2
2019.09.22	1.24644	1.25026	1.22702	1.22871	313518	0	2
2019.09.29	1.22784	1.24129	1.22043	1.23323	319684	0	2
2019.10.06	1.23012	1.27071	1.21950	1.26468	351392	0	2
2019.10.13	1.26210	1.29889	1.25158	1.29695	433845	0	0
2019.10.20	1.29477	1.30120	1.27881	1.28309	376492	0	0
2019.10.27	1.28128	1.29755	1.28064	1.29337	312695	0	0
2019.11.03	1.29264	1.29425	1.27684	1.27748	259901	0	2
2019.11.10	1.27732	1.29188	1.27732	1.28985	222639	0	2
2019.11.17	1.29200	1.29850	1.28226	1.28271	235190	0	2
2019.11.24	1.28523	1.29507	1.28268	1.29170	225052	0	2
2019.12.01	1.29088	1.31663	1.28957	1.31340	224262	0	2
2019.12.08	1.31336	1.35143	1.30492	1.33338	292430	0	2
2019.12.15	1.33353	1.34221	1.29779	1.30006	295132	0	2
2019.12.22	1.29940	1.31170	1.29049	1.30845	174647	0	2
2019.12.29	1.30691	1.32842	1.30532	1.30743	211579	0	2
2020.01.05	1.30781	1.32119	1.30130	1.30637	275843	0	0
2020.01.12	1.30364	1.31187	1.29541	1.30094	251746	0	0
2020.01.19	1.29985	1.31724	1.29618	1.30705	269674	0	0
2020.01.26	1.30754	1.32088	1.29753	1.32080	304505	0	0
2020.02.02	1.31701	1.31841	1.28809	1.28820	307195	0	0
2020.02.09	1.28864	1.30692	1.28717	1.30471	304190	0	0
2020.02.16	1.30324	1.30536	1.28489	1.29566	297016	0	0
2020.02.23	1.29426	1.30178	1.27255	1.28212	409056	0	0
2020.03.01	1.27918	1.30519	1.27379	1.30445	370221	0	0
2020.03.08	1.30754	1.31997	1.22658	1.22903	757025	0	0
2020.03.15	1.24107	1.24200	1.14098	1.15990	879917	0	0
2020.03.22	1.16745	1.24852	1.14463	1.24744	786322	0	0
2020.03.29	1.24174	1.24750	1.22049	1.22692	509104	0	0
2020.04.05	1.22204	1.24865	1.21645	1.24341	326163	0	0
2020.04.12	1.24536	1.26471	1.24064	1.25058	489565	0	0
2020.04.19	1.24916	1.24998	1.22470	1.23659	504397	0	0
2020.04.26	1.23614	1.26426	1.23594	1.24926	345104	0	0
2020.05.03	1.24823	1.24865	1.22658	1.24076	273676	0	0
2020.05.10	1.23952	1.24372	1.21009	1.21020	310222	0	0
2020.05.17	1.20852	1.22961	1.20739	1.21667	275399	0	0
2020.05.24	1.21716	1.23938	1.21628	1.23509	335091	0	0
2020.05.31	1.23231	1.27309	1.23231	1.26678	382607	0	0
2020.06.07	1.26690	1.28129	1.24735	1.25482	435557	0	0
2020.06.14	1.25094	1.26872	1.23437	1.23486	419213	0	0
2020.06.21	1.23410	1.25425	1.23140	1.23363	299122	0	0
